HN-987 © Norbert Habbe	
1.000000	0.000000
0.999013	0.000126
0.996057	0.000545
0.991144	0.001283
0.984292	0.002373
0.975528	0.003781
0.964888	0.005444
0.952414	0.007332
0.938153	0.009370
0.922164	0.011569
0.904508	0.013923
0.885257	0.016416
0.864484	0.019035
0.842274	0.021747
0.818712	0.024532
0.793893	0.027356
0.767913	0.030196
0.740877	0.033021
0.712890	0.035806
0.684062	0.038520
0.654508	0.041142
0.624345	0.043646
0.593691	0.045991
0.562667	0.048160
0.531395	0.050120
0.500000	0.051837
0.468605	0.053284
0.437333	0.054435
0.406309	0.055274
0.375655	0.055774
0.345492	0.055936
0.315938	0.055725
0.287110	0.055158
0.259123	0.054223
0.232087	0.052932
0.206107	0.051292
0.181288	0.049310
0.157726	0.046989
0.135516	0.044353
0.114743	0.041408
0.095492	0.038179
0.077836	0.034693
0.061847	0.030976
0.047586	0.027069
0.035112	0.023001
0.024472	0.018820
0.015708	0.014624
0.008856	0.010498
0.003943	0.006596
0.000987	0.003020
0.000000	0.000000
0.000987	-0.002540
0.003943	-0.005136
0.008856	-0.007794
0.015708	-0.010290
0.024472	-0.012686
0.035112	-0.014931
0.047586	-0.016955
0.061847	-0.018774
0.077836	-0.020367
0.095492	-0.021739
0.114743	-0.022894
0.135516	-0.023819
0.157726	-0.024541
0.181288	-0.025052
0.206107	-0.025358
0.232087	-0.025478
0.259123	-0.025411
0.287110	-0.025172
0.315938	-0.024757
0.345492	-0.024166
0.375655	-0.023412
0.406309	-0.022502
0.437333	-0.021457
0.468605	-0.020302
0.500000	-0.019043
0.531395	-0.017686
0.562667	-0.016218
0.593691	-0.014645
0.624345	-0.012994
0.654508	-0.011326
0.684062	-0.009688
0.712890	-0.008110
0.740877	-0.006621
0.767913	-0.005240
0.793893	-0.003990
0.818712	-0.002878
0.842274	-0.001911
0.864484	-0.001095
0.885257	-0.000434
0.904508	0.000077
0.922164	0.000445
0.938153	0.000674
0.952414	0.000784
0.964888	0.000788
0.975528	0.000703			
0.984292	0.000555			
0.991144	0.000369			
0.996057	0.000187			
0.999013	0.000052			
1.000000	0.000000			

Profildicke(d):	8,05	%		
Dickenrücklage(xd):	31,59	%		
Profilwölbung(f):	1,65	%		
Wölbungsrücklage(xf):	45,29	%		
Momentenbeiwert(cm0):	-0,0608			
Nullauftrieb(a0):	-2,2830	°		
Stoßfreier	Eintritt:	0,2394	°	
Ca	bei	stoßfreiem	Eintritt:	0,2766
Auftriebsanstieg:	6,6789			
Neutralpunktlage:	25,61	%
Profiltyp:	Profil	

Daren	Anguelkov	<daren.anguelkov@wanadoo.fr>
