Profil original du Pilatus PC-6 Turbo Porter
1.000000   -0.000740
0.975000    0.006040
0.950000    0.012870
0.925000    0.019650
0.900000    0.026390
0.875000    0.033130
0.850000    0.039830
0.825000    0.046440
0.800000    0.052910
0.775000    0.059130
0.750000    0.065170
0.725000    0.070960
0.700000    0.076390
0.675000    0.081440
0.650000    0.086040
0.625000    0.090130
0.600000    0.093740
0.575000    0.096740
0.550000    0.099170
0.500000    0.102690
0.450000    0.104560
0.400000    0.105000
0.350000    0.104090
0.300000    0.101690
0.250000    0.097780
0.200000    0.092090
0.175000    0.088480
0.150000    0.084130
0.125000    0.079090
0.100000    0.073090
0.075000    0.065610
0.050000    0.056000
0.037500    0.049740
0.025000    0.041650
0.012500    0.030690
0.005000    0.020350
0.002000    0.013000
0.000000    0.000000
0.002000   -0.009740
0.005000   -0.014440
0.012500   -0.020520
0.025000   -0.026910
0.037500   -0.031910
0.050000   -0.035690
0.075000   -0.042090
0.100000   -0.047000
0.125000   -0.050870
0.150000   -0.054260
0.175000   -0.057000
0.200000   -0.059260
0.250000   -0.062650
0.300000   -0.064480
0.350000   -0.065170
0.400000   -0.064830
0.450000   -0.063440
0.500000   -0.060910
0.550000   -0.056830
0.575000   -0.053960
0.600000   -0.050610
0.625000   -0.046780
0.650000   -0.042650
0.675000   -0.038300
0.700000   -0.033830
0.725000   -0.029300
0.750000   -0.024610
0.775000   -0.020300
0.800000   -0.015870
0.825000   -0.011910
0.850000   -0.008520
0.875000   -0.005650
0.900000   -0.003520
0.925000   -0.002480
0.950000   -0.002570
0.975000   -0.003960
1.000000   -0.007830

qui m'avait été conseillé par leurs ingénieurs pour des modéles réduits lourds. Je l'ai 
testé sur une forteresse volante B-17 Marutaka dont j'avais refait l'aile, 
et effectivement, a volait trés bien malgré 120gr./dm2 et 7 kg. total.
"Xavier SCHMIDT" <airxav@hotmail.com> 10/02/2004
